numero_processo;dia_semana;ano
07004394420258020007;Quinta;2025
07339886820228020001;Quinta;2025
07451497520228020001;Quinta;2025
08095568820258020000;Quarta;2025
07186219620258020001;Quarta;2025
07058652620238020001;Quarta;2025
08112612420258020000;Quarta;2025
07479834620258020001;Quarta;2025
07015956920248020050;Quarta;2025
07031769720258020046;Quarta;2025
07014587420258020043;Terça;2025
07168829320228020001;Terça;2025
07367529020238020001;Terça;2025
08111876720258020000;Terça;2025
07403289120238020001;Terça;2025
07306516620258020001;Terça;2025
07420012220238020001;Terça;2025
07476794720258020001;Terça;2025
07476040820258020001;Segunda;2025
07130525120248020001;Segunda;2025
07369153620248020001;Segunda;2025
07352655120248020001;Segunda;2025
07155825120248020058;;2025
07289391220238020001;;2025
07008186120248020090;Sexta;2025
07472022420258020001;Sexta;2025
08110291220258020000;Sexta;2025
07009123320258020006;Sexta;2025
07470922520258020001;Sexta;2025
08109815320258020000;Quinta;2025
07374243020258020001;Quinta;2025
07469684220258020001;Quinta;2025
07613264620248020001;Quinta;2025
07025557020258020056;Quinta;2025
08109390420258020000;Quinta;2025
07468489620258020001;Quinta;2025
07152941720238020001;Quinta;2025
07006756620258020016;Quinta;2025
08109252020258020000;Quinta;2025
07006739620258020016;Quinta;2025
07316184820248020001;Quarta;2025
07004684420228020090;Quarta;2025
08108455620258020000;Terça;2025
07465111020258020001;Terça;2025
07000686820238020066;Segunda;2025
08003180520258029002;;2025
08093740520258020000;Sexta;2025
07191542620238020001;Sexta;2025
07165644220248020001;Sexta;2025
07461101120258020001;Sexta;2025
08107156620258020000;Sexta;2025
08026091820258020000;Quinta;2025
08095594320258020000;Quinta;2025
07026034420258020051;Quinta;2025
08106671020258020000;Quinta;2025
08106480420258020000;Quinta;2025
07456952820258020001;Quarta;2025
05000076520258020053;Quarta;2025
07100215720238020001;Quarta;2025
