numero_processo;dia_semana;ano
30359313120248060001;Terça;2024
02018476320238060112;Terça;2024
30358611420248060001;Terça;2024
02012840620228060112;Terça;2024
30359088520248060001;Terça;2024
02003828720248060175;Segunda;2024
02062714620248060167;;2024
02831813020248060001;Quinta;2024
02840026820238060001;Quinta;2024
30067481820248060000;Quinta;2024
06380471520248060000;Quarta;2024
30009424520248060115;Terça;2024
30345291220248060001;Terça;2024
06379779520248060000;Terça;2024
30027446720248060151;Terça;2024
30010621320248060043;Segunda;2024
02822823220248060001;Segunda;2024
02824989020248060001;Segunda;2024
06379310920248060000;Segunda;2024
02070593120248060112;Segunda;2024
02820797020248060001;;2024
30008621820248060136;Sexta;2024
02008932120228060122;Sexta;2024
02820545720248060001;Sexta;2024
06378523020248060000;Sexta;2024
02815349720248060001;Quinta;2024
02023592920248060171;Quinta;2024
30338086020248060001;Quarta;2024
02008529620228060108;Quarta;2024
02069830720248060112;Quarta;2024
30022384320248060070;Terça;2024
02580479820248060001;Terça;2024
30029879420248060091;Terça;2024
02443198720248060001;Terça;2024
02533348020248060001;Terça;2024
02412010620248060001;Terça;2024
06376237020248060000;Terça;2024
02652094720248060001;Terça;2024
02011607720248060136;Terça;2024
30025829220238060091;Segunda;2024
30010943720248060166;Segunda;2024
02468435720248060001;Segunda;2024
06375284020248060000;Segunda;2024
02807251020248060001;Segunda;2024
02806827320248060001;Segunda;2024
30333998420248060001;Segunda;2024
02014744020248060001;Sexta;2024
06374349220248060000;Sexta;2024
02802107220248060001;Sexta;2024
02068860720248060112;Sexta;2024
30330499620248060001;Quinta;2024
30020254520248060035;Quinta;2024
30000912920238060151;Quinta;2024
02071688720248060001;Quarta;2024
02795481120248060001;Quarta;2024
06371915120248060000;Terça;2024
30001514620248060028;Terça;2024
06371611620248060000;Terça;2024
06371984320248060000;Terça;2024
30014990820248060220;Terça;2024
02043358020248060071;Terça;2024
02132763520248060001;Segunda;2024
02005284920248060169;Segunda;2024
02789600420248060001;Segunda;2024
02790649320248060001;Segunda;2024
02132763520248060001;Segunda;2024
02061922320248060117;Segunda;2024
02132763520248060001;Segunda;2024
02061922320248060117;Segunda;2024
02788024620248060001;Segunda;2024
02008474920228060181;Quinta;2024
02023430920228060151;Quarta;2024
02778142520248060001;Quarta;2024
02753020620238060001;Quarta;2024
30002985120248060132;Quarta;2024
02486548620238060001;Quarta;2024
30008938120248060154;Quarta;2024
02010285020228060181;Quarta;2024
02776453820248060001;Terça;2024
02446986220238060001;Terça;2024
06368156520248060000;Terça;2024
06368529220248060000;Terça;2024
02003644420228060108;Terça;2024
06368407820248060000;Terça;2024
06368026620248060000;Terça;2024
06368338620248060000;Terça;2024
30053684120248060167;Segunda;2024
02528405520238060001;Segunda;2024
02209661820248060001;Segunda;2024
02094665220248060001;Segunda;2024
00119793220248060112;Segunda;2024
30197999320248060001;Sexta;2024
02003993820248060074;Sexta;2024
02031789320218060001;Quinta;2024
30365361120238060001;Quinta;2024
02766979620248060001;Quinta;2024
02763047420248060001;Quarta;2024
02763879020248060001;Quarta;2024
02763601020248060001;Quarta;2024
